story,sentence,TP,FP,FN,precision,recall,f1
story_001,AAP03: ENFORCER goes by the alias AAP03: ENFORCER.,0,1,1,0.0,0.0,0.0
story_002,AAP03: ENFORCER goes into battle in the AAP03: ENFORCER.,0,1,1,0.0,0.0,0.0
story_003,AAP03: ENFORCER is affiliated with PCA.,1,0,0,1.0,1.0,1.0
story_004,AAP03: ENFORCER is also known as AAP03: ENFORCER.,0,1,1,0.0,0.0,0.0
story_005,AAP03: ENFORCER is fought as the boss in Depth Exploration.,0,0,1,0.0,0.0,0.0
story_006,AAP03: ENFORCER is the boss of Depth Exploration.,0,0,1,0.0,0.0,0.0
story_007,AAP03: ENFORCER pilots the AAP03: ENFORCER.,0,1,1,0.0,0.0,0.0
story_008,AAP03: ENFORCER works for PCA.,1,0,0,1.0,1.0,1.0
story_009,AAP07: BALTEUS goes by the alias AAP07: BALTEUS.,0,1,1,0.0,0.0,0.0
story_010,AAP07: BALTEUS goes into battle in the AAP07: BALTEUS.,0,1,1,0.0,0.0,0.0
story_011,AAP07: BALTEUS is affiliated with PCA.,1,0,0,1.0,1.0,1.0
story_012,AAP07: BALTEUS is also known as AAP07: BALTEUS.,0,1,1,0.0,0.0,0.0
story_013,AAP07: BALTEUS is fought as the boss in PCA Arrival.,0,0,1,0.0,0.0,0.0
story_014,AAP07: BALTEUS is the boss of PCA Arrival.,0,0,1,0.0,0.0,0.0
story_015,AAP07: BALTEUS pilots the AAP07: BALTEUS.,0,1,1,0.0,0.0,0.0
story_016,AAP07: BALTEUS works for PCA.,1,0,0,1.0,1.0,1.0
story_017,ALLMIND goes by the alias ALLMIND.,0,1,1,0.0,0.0,0.0
story_018,ALLMIND is also known as ALLMIND.,0,1,1,0.0,0.0,0.0
story_019,ALLMIND is involved in PCA Arrival.,1,0,0,1.0,1.0,1.0
story_020,ALLMIND takes part in PCA Arrival.,1,0,0,1.0,1.0,1.0
story_021,Arquebus is involved in PCA Siege.,1,0,0,1.0,1.0,1.0
story_022,Arquebus takes part in PCA Siege.,1,0,0,1.0,1.0,1.0
story_023,Ayre goes by the alias A Friend.,1,0,0,1.0,1.0,1.0
story_024,Ayre goes by the alias Ayre.,0,1,1,0.0,0.0,0.0
story_025,Ayre goes by the alias Wavelength Form.,1,0,0,1.0,1.0,1.0
story_026,Ayre goes into battle in the ECHO.,1,0,0,1.0,1.0,1.0
story_027,Ayre goes into battle in the IB-07: SOL 644.,1,0,0,1.0,1.0,1.0
story_028,Ayre is also known as A Friend.,1,0,0,1.0,1.0,1.0
story_029,Ayre is also known as Ayre.,0,1,1,0.0,0.0,0.0
story_030,Ayre is also known as Wavelength Form.,1,0,0,1.0,1.0,1.0
story_031,Ayre is fought as the boss in Fires of Raven.,0,0,1,0.0,0.0,0.0
story_032,Ayre is involved in Cataphract Fight.,1,0,0,1.0,1.0,1.0
story_033,Ayre is involved in Depth Exploration.,1,0,0,1.0,1.0,1.0
story_034,Ayre is involved in Fires of Raven.,1,0,0,1.0,1.0,1.0
story_035,Ayre is involved in Karman Line.,1,0,0,1.0,1.0,1.0
story_036,Ayre is involved in Operation Wormkiller.,1,0,0,1.0,1.0,1.0
story_037,Ayre is involved in PCA Siege.,1,0,0,1.0,1.0,1.0
story_038,Ayre is involved in Vascular Plant.,1,0,0,1.0,1.0,1.0
story_039,Ayre is involved in Xylem Takeoff.,1,0,0,1.0,1.0,1.0
story_040,Ayre is the boss of Fires of Raven.,0,0,1,0.0,0.0,0.0
story_041,Ayre pilots the ECHO.,1,0,0,1.0,1.0,1.0
story_042,Ayre pilots the IB-07: SOL 644.,1,0,0,1.0,1.0,1.0
story_043,Ayre takes part in Cataphract Fight.,1,0,0,1.0,1.0,1.0
story_044,Ayre takes part in Depth Exploration.,1,0,0,1.0,1.0,1.0
story_045,Ayre takes part in Fires of Raven.,1,0,0,1.0,1.0,1.0
story_046,Ayre takes part in Karman Line.,1,0,0,1.0,1.0,1.0
story_047,Ayre takes part in Operation Wormkiller.,1,0,0,1.0,1.0,1.0
story_048,Ayre takes part in PCA Siege.,1,0,0,1.0,1.0,1.0
story_049,Ayre takes part in Vascular Plant.,1,0,0,1.0,1.0,1.0
story_050,Ayre takes part in Xylem Takeoff.,1,0,0,1.0,1.0,1.0
story_051,Balam is an enemy of Arquebus.,1,0,0,1.0,1.0,1.0
story_052,Balam is hostile toward Arquebus.,1,0,0,1.0,1.0,1.0
story_053,Balam is involved in PCA Siege.,1,0,0,1.0,1.0,1.0
story_054,Balam takes part in PCA Siege.,1,0,0,1.0,1.0,1.0
story_055,C4-621 destroys AAP07: BALTEUS in battle.,1,0,0,1.0,1.0,1.0
story_056,C4-621 destroys Cataphract in battle.,1,0,0,1.0,1.0,1.0
story_057,C4-621 destroys HA-T-102 JUGGERNAUT in battle.,1,0,0,1.0,1.0,1.0
