story,sentence,TP,FP,FN,precision,recall,f1
story_001,axel is a member of organization13.,1,0,0,1.0,1.0,1.0
story_002,demyx is a member of organization13.,1,0,0,1.0,1.0,1.0
story_003,donald appears in agrabah.,1,0,0,1.0,1.0,1.0
story_004,donald appears in beast castle.,1,0,0,1.0,1.0,1.0
story_005,donald appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_006,donald appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_007,donald appears in disney castle.,1,0,0,1.0,1.0,1.0
story_008,donald appears in halloween town.,1,0,0,1.0,1.0,1.0
story_009,donald appears in land of dragons.,1,0,0,1.0,1.0,1.0
story_010,donald appears in port royal.,1,0,0,1.0,1.0,1.0
story_011,donald appears in pride lands.,1,0,0,1.0,1.0,1.0
story_012,donald appears in radiant garden.,1,0,0,1.0,1.0,1.0
story_013,donald appears in timeless river.,1,0,0,1.0,1.0,1.0
story_014,donald appears in twilight town.,1,0,0,1.0,1.0,1.0
story_015,donald can perform scan.,1,0,0,1.0,1.0,1.0
story_016,donald can perform thunder.,1,0,0,1.0,1.0,1.0
story_017,donald comes from disney castle.,1,0,0,1.0,1.0,1.0
story_018,donald has the secondary weapon donald staff.,1,0,0,1.0,1.0,1.0
story_019,donald is friends with goofy.,1,0,0,1.0,1.0,1.0
story_020,donald is friends with king mickey.,1,0,0,1.0,1.0,1.0
story_021,donald is friends with sora.,1,0,0,1.0,1.0,1.0
story_022,fight roxas vs axel is won by party roxas.,1,0,0,1.0,1.0,1.0
story_023,fight roxas vs axel takes place in twilight town.,1,0,0,1.0,1.0,1.0
story_024,fight roxas vs twilight thorn is won by party roxas.,1,0,0,1.0,1.0,1.0
story_025,fight roxas vs twilight thorn takes place in twilight town.,1,0,0,1.0,1.0,1.0
story_026,fight sora riku vs xemnas final is won by party sora riku.,1,0,0,1.0,1.0,1.0
story_027,fight sora riku vs xemnas final takes place in castle oblivion.,1,0,0,1.0,1.0,1.0
story_028,fight sora vs axel is won by party sora.,1,0,0,1.0,1.0,1.0
story_029,fight sora vs axel takes place in radiant garden.,1,0,0,1.0,1.0,1.0
story_030,fight sora vs demyx is won by party sora.,1,0,0,1.0,1.0,1.0
story_031,fight sora vs demyx takes place in radiant garden.,1,0,0,1.0,1.0,1.0
story_032,fight sora vs ghost pirate is won by party sora.,1,0,0,1.0,1.0,1.0
story_033,fight sora vs ghost pirate takes place in port royal.,1,0,0,1.0,1.0,1.0
story_034,fight sora vs groundshaker is won by party sora.,1,0,0,1.0,1.0,1.0
story_035,fight sora vs groundshaker takes place in pride lands.,1,0,0,1.0,1.0,1.0
story_036,fight sora vs luxord is won by party sora.,1,0,0,1.0,1.0,1.0
story_037,fight sora vs luxord takes place in castle oblivion.,1,0,0,1.0,1.0,1.0
story_038,fight sora vs mulan dragon is won by party sora.,1,0,0,1.0,1.0,1.0
story_039,fight sora vs mulan dragon takes place in land of dragons.,1,0,0,1.0,1.0,1.0
story_040,fight sora vs saix is won by party sora.,1,0,0,1.0,1.0,1.0
story_041,fight sora vs saix takes place in castle oblivion.,1,0,0,1.0,1.0,1.0
story_042,fight sora vs sephiroth is won by party sora.,1,0,0,1.0,1.0,1.0
story_043,fight sora vs sephiroth takes place in radiant garden.,1,0,0,1.0,1.0,1.0
story_044,fight sora vs xaldin is won by party sora.,1,0,0,1.0,1.0,1.0
story_045,fight sora vs xaldin takes place in beast castle.,1,0,0,1.0,1.0,1.0
story_046,fight sora vs xemnas is won by party sora.,1,0,0,1.0,1.0,1.0
story_047,fight sora vs xemnas takes place in castle oblivion.,1,0,0,1.0,1.0,1.0
story_048,fight sora vs xigbar is won by party sora.,1,0,0,1.0,1.0,1.0
story_049,fight sora vs xigbar takes place in castle oblivion.,1,0,0,1.0,1.0,1.0
story_050,goofy appears in agrabah.,1,0,0,1.0,1.0,1.0
story_051,goofy appears in beast castle.,1,0,0,1.0,1.0,1.0
story_052,goofy appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_053,goofy appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_054,goofy appears in disney castle.,1,0,0,1.0,1.0,1.0
story_055,goofy appears in halloween town.,1,0,0,1.0,1.0,1.0
story_056,goofy appears in land of dragons.,1,0,0,1.0,1.0,1.0
story_057,goofy appears in port royal.,1,0,0,1.0,1.0,1.0
story_058,goofy appears in pride lands.,1,0,0,1.0,1.0,1.0
story_059,goofy appears in radiant garden.,1,0,0,1.0,1.0,1.0
story_060,goofy appears in timeless river.,1,0,0,1.0,1.0,1.0
story_061,goofy appears in twilight town.,1,0,0,1.0,1.0,1.0
story_062,goofy can perform combo plus.,1,0,0,1.0,1.0,1.0
story_063,goofy can perform scan.,1,0,0,1.0,1.0,1.0
story_064,goofy comes from disney castle.,1,0,0,1.0,1.0,1.0
story_065,goofy has the secondary weapon goofy shield.,1,0,0,1.0,1.0,1.0
story_066,goofy is friends with king mickey.,1,0,0,1.0,1.0,1.0
story_067,goofy is friends with sora.,1,0,0,1.0,1.0,1.0
story_068,hayner comes from twilight town.,1,0,0,1.0,1.0,1.0
story_069,hayner is friends with olette.,1,0,0,1.0,1.0,1.0
story_070,hayner is friends with pence.,1,0,0,1.0,1.0,1.0
story_071,hayner is friends with roxas.,1,0,0,1.0,1.0,1.0
story_072,kairi appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_073,kairi appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_074,kairi comes from destiny islands.,1,0,0,1.0,1.0,1.0
story_075,kairi is friends with riku.,1,0,0,1.0,1.0,1.0
story_076,kairi is friends with sora.,1,0,0,1.0,1.0,1.0
story_077,kairi owns the keyblade kingdom chain.,1,0,0,1.0,1.0,1.0
story_078,king mickey appears in castle oblivion.,1,0,0,1.0,1.0,1.0
story_079,king mickey appears in destiny islands.,1,0,0,1.0,1.0,1.0
story_080,king mickey comes from disney castle.,1,0,0,1.0,1.0,1.0
story_081,king mickey is friends with kairi.,1,0,0,1.0,1.0,1.0
story_082,king mickey is friends with riku.,1,0,0,1.0,1.0,1.0
story_083,king mickey is friends with sora.,1,0,0,1.0,1.0,1.0
story_084,king mickey is friends with yen sid.,1,0,0,1.0,1.0,1.0
story_085,king mickey owns the keyblade star seeker.,1,0,0,1.0,1.0,1.0
story_086,larxene is a member of organization13.,1,0,0,1.0,1.0,1.0
story_087,leon is friends with merlin.,1,0,0,1.0,1.0,1.0
story_088,leon is friends with sora.,1,0,0,1.0,1.0,1.0
story_089,lexaeus is a member of organization13.,1,0,0,1.0,1.0,1.0
story_090,luxord is a member of organization13.,1,0,0,1.0,1.0,1.0
story_091,marluxia is a member of organization13.,1,0,0,1.0,1.0,1.0
story_092,merlin appears in twilight town.,1,0,0,1.0,1.0,1.0
story_093,merlin comes from disney castle.,1,0,0,1.0,1.0,1.0
story_094,merlin is friends with cloud.,1,0,0,1.0,1.0,1.0
story_095,merlin is friends with sora.,1,0,0,1.0,1.0,1.0
story_096,naminé comes from castle oblivion.,1,0,0,1.0,1.0,1.0
story_097,naminé is friends with roxas.,1,0,0,1.0,1.0,1.0
story_098,olette comes from twilight town.,1,0,0,1.0,1.0,1.0
story_099,olette is friends with roxas.,1,0,0,1.0,1.0,1.0
story_100,outlaw moon drops dark gem.,1,0,0,1.0,1.0,1.0
story_101,party axel engages in the fight fight roxas vs axel.,1,0,0,1.0,1.0,1.0
story_102,party axel engages in the fight fight sora vs axel.,1,0,0,1.0,1.0,1.0
story_103,party axel has as party member axel.,1,0,0,1.0,1.0,1.0
story_104,party demyx engages in the fight fight sora vs demyx.,1,0,0,1.0,1.0,1.0
story_105,party demyx has as party member demyx.,1,0,0,1.0,1.0,1.0
story_106,party ghost pirate engages in the fight fight sora vs ghost pirate.,1,0,0,1.0,1.0,1.0
story_107,party ghost pirate has as party member ghost pirate.,1,0,0,1.0,1.0,1.0
story_108,party groundshaker engages in the fight fight sora vs groundshaker.,1,0,0,1.0,1.0,1.0
story_109,party groundshaker has as party member groundshaker.,1,0,0,1.0,1.0,1.0
story_110,party luxord engages in the fight fight sora vs luxord.,1,0,0,1.0,1.0,1.0
story_111,party luxord has as party member luxord.,1,0,0,1.0,1.0,1.0
story_112,party mulan dragon engages in the fight fight sora vs mulan dragon.,1,0,0,1.0,1.0,1.0
story_113,party mulan dragon has as party member mulan dragon.,1,0,0,1.0,1.0,1.0
story_114,party roxas engages in the fight fight roxas vs axel.,1,0,0,1.0,1.0,1.0
