===== query1 =====
(24 rows)
a=Donald | b=Goofy
a=Donald | b=KingMickey
a=Donald | b=Sora
a=Goofy | b=KingMickey
a=Goofy | b=Sora
a=Hayner | b=Olette
a=Hayner | b=Pence
a=Hayner | b=Roxas
a=Kairi | b=Riku
a=Kairi | b=Sora
a=KingMickey | b=Kairi
a=KingMickey | b=Riku
a=KingMickey | b=Sora
a=KingMickey | b=YenSid
a=Leon | b=Merlin
a=Leon | b=Sora
a=Merlin | b=Cloud
a=Merlin | b=Sora
a=Naminé | b=Roxas
a=Olette | b=Roxas
a=Pence | b=Olette
a=Pence | b=Roxas
a=Riku | b=Sora
a=Roxas | b=Axel

===== query2 =====
(109 rows)
char=ArmoredKnight | keyblade=None | driveform=None | world=None
char=Assassin | keyblade=None | driveform=None | world=None
char=Axel | keyblade=None | driveform=None | world=None
char=Basic | keyblade=None | driveform=None | world=None
char=Cloud | keyblade=None | driveform=None | world=None
char=Dancer | keyblade=None | driveform=None | world=None
char=Demyx | keyblade=None | driveform=None | world=None
char=Donald | keyblade=None | driveform=None | world=DisneyCastle
char=Gambler | keyblade=None | driveform=None | world=None
char=GhostPirate | keyblade=None | driveform=None | world=None
char=Goofy | keyblade=None | driveform=None | world=DisneyCastle
char=Groundshaker | keyblade=None | driveform=None | world=None
char=Hayner | keyblade=None | driveform=None | world=TwilightTown
char=Kairi | keyblade=KingdomChain | driveform=None | world=DestinyIslands
char=KingMickey | keyblade=StarSeeker | driveform=None | world=DisneyCastle
char=Larxene | keyblade=None | driveform=None | world=None
char=Leon | keyblade=None | driveform=None | world=None
char=Lexaeus | keyblade=None | driveform=None | world=None
char=Luxord | keyblade=None | driveform=None | world=None
char=Marluxia | keyblade=None | driveform=None | world=None
char=Merlin | keyblade=None | driveform=None | world=DisneyCastle
char=MulanDragon | keyblade=None | driveform=None | world=None
char=Naminé | keyblade=None | driveform=None | world=CastleOblivion
char=Neoshadow | keyblade=None | driveform=None | world=None
char=Olette | keyblade=None | driveform=None | world=TwilightTown
char=OutlawMoon | keyblade=None | driveform=None | world=None
char=Pence | keyblade=None | driveform=None | world=TwilightTown
char=Riku | keyblade=WayToDawn | driveform=None | world=DestinyIslands
char=Roxas | keyblade=KingdomChain | driveform=None | world=TwilightTown
char=Roxas | keyblade=LuckyCharm | driveform=None | world=TwilightTown
char=Roxas | keyblade=MemorySkyscraper | driveform=None | world=TwilightTown
char=Saïx | keyblade=None | driveform=None | world=None
char=Sephiroth | keyblade=None | driveform=None | world=RadiantGarden
char=Shadow | keyblade=None | driveform=None | world=None
char=Sniper | keyblade=None | driveform=None | world=None
char=Sora | keyblade=2BecomeOne | driveform=AntiFusion | world=DestinyIslands
char=Sora | keyblade=2BecomeOne | driveform=FinalForm | world=DestinyIslands
char=Sora | keyblade=2BecomeOne | driveform=LimitForm | world=DestinyIslands
char=Sora | keyblade=2BecomeOne | driveform=MasterForm | world=DestinyIslands
char=Sora | keyblade=2BecomeOne | driveform=ValorForm | world=DestinyIslands
